"","idno","cntry","freehms","lrnobed","impcntr","atchctr","atcherp","wrclmch","gndr","agea","age_category"
"11834",65417,"Hungary",2,2,4,7,7,3,"Male",56,"entre 45 y 59"
"11835",65428,"Hungary",2,1,3,8,9,3,"Female",24,"menor de 30"
"11836",65429,"Hungary",1,1,3,10,8,3,"Female",33,"entre 30 y 44"
"11837",65430,"Hungary",1,2,3,8,8,4,"Female",22,"menor de 30"
"11838",65455,"Hungary",2,4,3,7,7,3,"Male",74,"entre 60 y 74"
"11839",65473,"Hungary",1,4,4,7,8,3,"Female",67,"entre 60 y 74"
"11840",65480,"Hungary",2,2,4,4,8,3,"Male",24,"menor de 30"
"11841",65528,"Hungary",2,3,2,8,8,3,"Female",49,"entre 45 y 59"
"11842",65537,"Hungary",5,2,4,10,8,3,"Female",69,"entre 60 y 74"
"11843",65561,"Hungary",2,1,3,8,2,3,"Female",68,"entre 60 y 74"
"11844",65585,"Hungary",3,3,4,8,5,3,"Male",42,"entre 30 y 44"
"11845",65596,"Hungary",2,1,4,10,8,3,"Female",60,"entre 60 y 74"
"11846",65618,"Hungary",5,1,3,9,6,3,"Male",32,"entre 30 y 44"
"11847",65651,"Hungary",2,1,4,10,10,4,"Male",58,"entre 45 y 59"
"11848",65665,"Hungary",2,3,4,4,5,3,"Female",68,"entre 60 y 74"
"11849",65690,"Hungary",3,1,4,10,10,3,"Male",56,"entre 45 y 59"
"11850",65694,"Hungary",2,4,3,9,9,5,"Male",31,"entre 30 y 44"
"11851",65697,"Hungary",2,4,3,6,6,4,"Female",19,"menor de 30"
"11852",65727,"Hungary",3,2,4,10,10,4,"Male",28,"menor de 30"
"11853",65728,"Hungary",1,1,4,10,10,4,"Female",59,"entre 45 y 59"
"11854",65731,"Hungary",5,3,2,2,6,3,"Male",24,"menor de 30"
"11855",65748,"Hungary",1,3,3,8,10,3,"Female",34,"entre 30 y 44"
"11856",65769,"Hungary",1,2,3,8,6,1,"Female",NA,NA
"11857",65782,"Hungary",5,3,4,8,6,5,"Female",38,"entre 30 y 44"
"11858",65786,"Hungary",2,1,4,10,10,2,"Male",41,"entre 30 y 44"
"11859",65796,"Hungary",2,3,3,9,9,3,"Female",68,"entre 60 y 74"
"11860",65816,"Hungary",4,4,4,6,8,5,"Female",31,"entre 30 y 44"
"11861",65817,"Hungary",4,3,3,10,7,1,"Male",58,"entre 45 y 59"
