"name","essround","edition","proddate","idno","cntry","dweight","pweight","freehms","lrnobed","impcntr","atchctr","atcherp","wrclmch","gndr","agea","prob","stratum","psu"
"ESS11e01",11,"1.0","20.06.2024",58866,"NL",1.0142426,0.8899064,2,2,4,8,5,3,1,74,0.0003330579,727,8916
"ESS11e01",11,"1.0","20.06.2024",58877,"NL",1.0053298,0.8899064,1,2,3,7,7,3,1,66,0.00033601062,726,9479
"ESS11e01",11,"1.0","20.06.2024",58889,"NL",1.0419323,0.8899064,1,1,2,5,5,3,2,27,0.00032420678,735,8893
"ESS11e01",11,"1.0","20.06.2024",58986,"NL",0.9857699,0.8899064,2,2,2,7,6,4,2,63,0.00034267787,748,8961
"ESS11e01",11,"1.0","20.06.2024",58995,"NL",0.9895682,0.8899064,1,2,1,8,8,3,1,58,0.00034136255,721,9129
"ESS11e01",11,"1.0","20.06.2024",59017,"NL",0.9895682,0.8899064,1,3,2,8,7,3,1,59,0.00034136255,721,8345
"ESS11e01",11,"1.0","20.06.2024",59048,"NL",0.9895682,0.8899064,1,3,1,8,8,3,1,56,0.00034136255,721,9507
"ESS11e01",11,"1.0","20.06.2024",59057,"NL",1.0102389,0.8899064,2,1,4,5,3,3,2,77,0.00033437787,750,8539
"ESS11e01",11,"1.0","20.06.2024",59083,"NL",1.0085934,0.8899064,1,3,4,8,3,3,2,34,0.0003349234,732,8556
"ESS11e01",11,"1.0","20.06.2024",59089,"NL",0.99124104,0.8899064,2,2,2,0,9,1,1,62,0.00034078644,720,8454
"ESS11e01",11,"1.0","20.06.2024",59106,"NL",0.9474674,0.8899064,2,2,2,6,6,2,1,52,0.00035653103,715,9290
"ESS11e01",11,"1.0","20.06.2024",59131,"NL",1.0196493,0.8899064,1,1,3,8,8,5,2,70,0.00033129187,753,9442
"ESS11e01",11,"1.0","20.06.2024",59132,"NL",1.051896,0.8899064,1,1,1,8,6,4,1,20,0.00032113586,733,8607
"ESS11e01",11,"1.0","20.06.2024",59141,"NL",0.9895682,0.8899064,2,2,2,7,3,3,1,65,0.00034136255,721,8551
"ESS11e01",11,"1.0","20.06.2024",59142,"NL",0.9857699,0.8899064,2,2,2,9,7,2,2,64,0.00034267787,748,9084
"ESS11e01",11,"1.0","20.06.2024",59163,"NL",0.9748403,0.8899064,2,2,3,6,8,3,2,25,0.00034651987,729,9203
"ESS11e01",11,"1.0","20.06.2024",59168,"NL",1.0196493,0.8899064,1,1,2,8,8,4,2,82,0.00033129187,753,8829
"ESS11e01",11,"1.0","20.06.2024",59183,"NL",0.9857699,0.8899064,1,3,2,8,8,5,2,65,0.00034267787,748,9647
"ESS11e01",11,"1.0","20.06.2024",59184,"NL",0.9528661,0.8899064,1,4,2,6,8,4,1,52,0.00035451102,717,8143
"ESS11e01",11,"1.0","20.06.2024",59258,"NL",1.0053298,0.8899064,1,1,2,8,6,1,1,82,0.00033601062,726,8749
"ESS11e01",11,"1.0","20.06.2024",59261,"NL",1.0335038,0.8899064,1,2,2,7,8,4,1,23,0.0003268508,722,9590
"ESS11e01",11,"1.0","20.06.2024",59288,"NL",1.0007535,0.8899064,2,2,3,7,3,2,1,37,0.0003375472,713,9211
